Export DJU 07/12/2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
Station météo,,AMBERIEU,,,,,,,,,,,
Usage,,Chauffage,,,,,,,,,,,
Méthode de calcul,,Professionnels de l'énergie,,,,,,,,,,,
Température de référence,,18°C,,,,,,,,,,,
Date de début,,12/31/11,,,,,,,,,,,
Date de fin,,12/30/20,,,,,,,,,,,
,,,,,,,,,,,,,
Résultats,,,,,,,,,,,,,
,,,,,,,,,,,,,
,JAN,FÉV,MAR,AVR,MAI,JUN,JUI,AOÛ,SEP,OCT,NOV,DÉC,Total
2020,422.4,305.2,314.1,154.6,122.4,67.8,31.5,27.2,79.6,205.4,294.1,409.9,2434.1
2019,490,335.3,286.7,222.9,179.5,50.9,23.1,37.8,84.2,139.1,334.2,372.1,2555.8
2018,323.7,448.8,324.1,138,91.7,34.7,16,21.6,63.4,184,302.1,388.6,2336.6
2017,583.7,293.7,238,230.7,112.6,25.8,17.3,25.8,104.3,157.9,360.4,441.4,2591.6
2016,363.4,337.9,349.8,210.5,137.3,44.1,31.1,33.2,47.1,229.8,312.4,497.4,2594
2015,443.1,423.6,308.6,183.4,112.3,32.5,15,20.2,105.2,231,282.7,295.8,2453.5
2014,360.7,306.6,276.7,172.7,133.5,43.4,34.4,47.3,67.6,115.6,240.7,431.1,2230.1
2013,485.5,486.4,351.3,224,186.7,71.7,17.3,39.6,70.9,118.7,374.4,432.6,2858.9
2012,444.6,574.1,261.2,215.2,107.6,36.7,41.2,26.5,87.8,160.9,293.4,413,2662.2
