Export DJU 07/12/2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
Station météo,,AUCH,,,,,,,,,,,
Usage,,Chauffage,,,,,,,,,,,
Méthode de calcul,,Professionnels de l'énergie,,,,,,,,,,,
Température de référence,,18°C,,,,,,,,,,,
Date de début,,12/31/11,,,,,,,,,,,
Date de fin,,12/30/20,,,,,,,,,,,
,,,,,,,,,,,,,
Résultats,,,,,,,,,,,,,
,,,,,,,,,,,,,
,JAN,FÉV,MAR,AVR,MAI,JUN,JUI,AOÛ,SEP,OCT,NOV,DÉC,Total
2020,341.2,242.6,247.1,113.9,67.8,43.9,18.4,15.1,55.2,154.3,216.8,336,1852.4
2019,412.5,263.7,252.2,179.5,137.9,50.9,8.1,17.2,41.8,94.1,265.7,272.4,1995.9
2018,281.8,372,273,146.1,101.3,25.6,8.2,15.6,35.7,134.7,247.7,290.6,1932.3
2017,453.9,267,224.4,193.4,84.2,19.9,10.9,19.8,70.6,109.4,309.1,360.5,2123.2
2016,294.5,286.7,275.5,179.6,109,37.4,21.9,24.8,36.2,131.6,241.7,356.4,1995.2
2015,379.4,353.7,257.6,153.8,84,22.8,12.9,22.1,72.3,151.8,207.5,279.6,1997.6
2014,302.2,291.4,255.3,142,127,29,17.3,30.4,42,82.5,172.3,365.8,1857.2
2013,379,352,259.8,195.2,164.5,63.4,6.1,23.2,49.1,90.9,284,387.5,2254.7
2012,356.6,475.8,266.7,211.7,92.5,33.3,35.9,12.8,49.6,125.9,249.9,329.1,2239.7
