Export DJU 14/12/2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
Station météo,,ALBI,,,,,,,,,,,
Usage,,Chauffage,,,,,,,,,,,
Méthode de calcul,,Professionnels de l'énergie,,,,,,,,,,,
Température de référence,,18°C,,,,,,,,,,,
Date de début,,12/31/11,,,,,,,,,,,
Date de fin,,12/30/20,,,,,,,,,,,
,,,,,,,,,,,,,
Résultats,,,,,,,,,,,,,
,,,,,,,,,,,,,
,JAN,FÉV,MAR,AVR,MAI,JUN,JUI,AOÛ,SEP,OCT,NOV,DÉC,Total
2020,333.3,258,246.9,111.3,61.7,40.9,13.1,11,55.7,160.9,201.3,343.7,1837.8
2019,441.3,275.2,257,188.8,132.3,37.6,6.9,15.1,37.8,92.2,265.1,291.6,2040.9
2018,295.7,387.7,279.7,133.6,102.8,19.3,6.6,12.5,29.3,127.9,223.8,319.1,1937.8
2017,464.3,256.7,221.1,180.4,79.5,19.4,8.8,16.7,77.6,111.8,317.1,410,2163.4
2016,315.1,291.2,292.7,177.3,112.4,37.3,17.5,20.5,38.8,131.9,243.4,350.3,2028.3
2015,401.2,371.1,251.1,143.8,82.7,18.3,8.3,17.7,70.8,154.1,232.8,283.6,2035.4
2014,314.4,280.7,254.3,144,115.3,26.5,16.2,30,38.5,82,174.1,397,1873
2013,427.9,375,261.8,203.4,161.9,61.6,6.5,19,43.7,83.9,312,379.2,2336
2012,370.7,494.4,240,208.6,86.8,29.5,25.8,9.7,49.1,116.3,237.7,355.4,2223.9
