Export DJU 07/12/2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
Station météo,,AGEN,,,,,,,,,,,
Usage,,Chauffage,,,,,,,,,,,
Méthode de calcul,,Professionnels de l'énergie,,,,,,,,,,,
Température de référence,,18°C,,,,,,,,,,,
Date de début,,12/31/11,,,,,,,,,,,
Date de fin,,12/30/20,,,,,,,,,,,
,,,,,,,,,,,,,
Résultats,,,,,,,,,,,,,
,,,,,,,,,,,,,
,JAN,FÉV,MAR,AVR,MAI,JUN,JUI,AOÛ,SEP,OCT,NOV,DÉC,Total
2020,325,244.6,240.6,113.3,64.5,44.3,17.7,13.8,53.5,140.1,206.2,321.7,1785.2
2019,410,263.4,232.3,176.3,127.8,44.5,8.3,16.6,44.1,85.1,255.6,277.6,1941.8
2018,271.2,367.6,258.5,127.4,91.1,20.1,6.5,15.3,40.7,133.4,242.2,292.8,1866.8
2017,447.2,248.8,202.1,181.6,78.2,17.9,9.8,17.2,68.6,101,303.2,364.3,2039.9
2016,294.7,279.6,274.6,176.8,100.8,38.2,18.1,22.8,35.7,135.9,232.4,363.8,1973.4
2015,385.3,343.6,238.4,146.4,79.4,21.6,10.4,18.5,73.1,154.8,206.7,281.2,1959.5
2014,292.7,271.2,239.7,138.6,112,25,14,29.7,42.7,71.8,159.2,369.5,1766
2013,389.8,352.8,258.9,187.4,158.9,57,5.4,22,41.2,85.5,278.5,388.9,2226.2
2012,357,480.4,240.2,205.3,82.7,30.4,34.8,12.5,49.2,117,246,316,2171.2
