Export DJU 14/12/2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
Station météo,,AMIENS-GLISY,,,,,,,,,,,
Usage,,Chauffage,,,,,,,,,,,
Méthode de calcul,,Professionnels de l'énergie,,,,,,,,,,,
Température de référence,,18°C,,,,,,,,,,,
Date de début,,12/31/11,,,,,,,,,,,
Date de fin,,12/30/20,,,,,,,,,,,
,,,,,,,,,,,,,
Résultats,,,,,,,,,,,,,
,,,,,,,,,,,,,
,JAN,FÉV,MAR,AVR,MAI,JUN,JUI,AOÛ,SEP,OCT,NOV,DÉC,Total
2020,366.7,287.9,325.8,181.5,152.9,68.7,47.4,26.8,76.9,175.9,268.8,361.4,2340.7
2019,437.5,319.1,273.2,237.1,179.1,62.5,45.2,39.5,84.1,161.8,314.1,361.9,2515.2
2018,390.2,450.4,363.5,170.5,123.1,56.3,17,38.5,99.6,180.2,316.3,350.9,2556.4
2017,498.4,320.2,251.8,258.4,127.2,40.1,34.1,41.4,100.2,142,318.4,490,2622.3
2016,388.9,352.2,357.8,268.4,148.4,65.1,37.1,40.1,48.9,219,330.8,438.1,2694.7
2015,418.8,400.8,331.5,218.7,153.7,77.7,40.9,39.7,131,220.6,223.9,257.6,2514.9
2014,351.9,303.3,291.4,195.3,155.1,80.2,36.8,61.2,75.4,136.5,262,398.2,2347.2
2013,472.7,441.7,446,273.7,210.1,90.6,31.9,43,96.1,150.3,329.1,374.5,2959.7
2012,374.1,473.3,280.6,288.5,160.4,88.6,57.1,41.3,109.6,201.5,315.2,377.8,2767.8
