Export DJU 07/12/2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
Station météo,,AIX EN PROVENCE,,,,,,,,,,,
Usage,,Chauffage,,,,,,,,,,,
Méthode de calcul,,Professionnels de l'énergie,,,,,,,,,,,
Température de référence,,18°C,,,,,,,,,,,
Date de début,,12/31/11,,,,,,,,,,,
Date de fin,,12/30/20,,,,,,,,,,,
,,,,,,,,,,,,,
Résultats,,,,,,,,,,,,,
,,,,,,,,,,,,,
,JAN,FÉV,MAR,AVR,MAI,JUN,JUI,AOÛ,SEP,OCT,NOV,DÉC,Total
2020,288.8,236.3,223.2,132.6,45.3,25.7,5.7,5.6,36,136.9,165.3,331.1,1632.5
2019,405.8,257.1,217.6,157.1,105.1,22.6,1.8,3.6,23.5,60.1,242.8,252.7,1749.7
2018,251.8,365.7,249.1,106.5,63.2,10.6,1.5,5.4,19.8,81.3,168.2,306.7,1629.9
2017,401.3,217.1,192.6,162.2,79.3,11.3,4.2,6.3,63.1,89,261.9,382.2,1870.6
2016,312.9,273,259.8,132.8,88.2,19.3,7.8,8.4,23.4,115.2,217.2,289.9,1748
2015,343,327.4,226.4,139,64.1,12.2,2,8.8,47.4,122.7,208.2,226.3,1727.5
2014,293.6,260.9,226.9,119.8,83.2,19.4,10.7,15.3,22.7,60.1,147,315.8,1575.2
2013,386.7,370.6,257.4,166.2,122.7,39.7,3.7,10.4,38.1,59.3,260.6,306.2,2021.5
2012,327.4,439.2,203.4,164.3,78.4,15.9,8.1,5.2,30.6,95.6,181.8,353.7,1903.5
