Export DJU 14/12/2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
Station météo,,AUXERRE-PERRIGNY,,,,,,,,,,,
Usage,,Chauffage,,,,,,,,,,,
Méthode de calcul,,Professionnels de l'énergie,,,,,,,,,,,
Température de référence,,18°C,,,,,,,,,,,
Date de début,,12/31/11,,,,,,,,,,,
Date de fin,,12/30/20,,,,,,,,,,,
,,,,,,,,,,,,,
Résultats,,,,,,,,,,,,,
,,,,,,,,,,,,,
,JAN,FÉV,MAR,AVR,MAI,JUN,JUI,AOÛ,SEP,OCT,NOV,DÉC,Total
2020,367.9,275.2,288.4,147.1,128.8,63.2,35.5,22.5,76,179.5,266.1,357.6,2207.7
2019,464.2,309.8,287.2,224.6,188.8,51.4,28.8,37.6,80.2,133.3,303.9,346.9,2456.7
2018,321.5,456.4,329.3,159.1,112.2,40.2,19.8,28.2,88.2,170.3,290,365.4,2380.4
2017,529.9,299.8,250,262.6,116.5,36.1,26,37.2,101.1,151.1,338.9,400.6,2549.7
2016,391.1,342.3,363.5,238,144.4,55.1,31,34.4,61.7,231.9,324.5,453.3,2671
2015,437.6,403.7,326.8,209.7,133.6,52.3,27,26.7,104.2,211.9,234.4,293,2460.8
2014,345.2,300.2,290.2,184.8,145.8,56.5,34.2,52.6,74.4,123.3,239.7,405.2,2252.1
2013,0,0,0,93.6,197,74.2,19,47.7,82.1,129.6,344.8,396.5,1384.4
2012,0,0,0,0,0,0,0,0,0,0,0,0,0
