Export DJU 07/12/2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
Station météo,,AMILLY,,,,,,,,,,,
Usage,,Chauffage,,,,,,,,,,,
Méthode de calcul,,Professionnels de l'énergie,,,,,,,,,,,
Température de référence,,18°C,,,,,,,,,,,
Date de début,,12/31/11,,,,,,,,,,,
Date de fin,,12/30/20,,,,,,,,,,,
,,,,,,,,,,,,,
Résultats,,,,,,,,,,,,,
,,,,,,,,,,,,,
,JAN,FÉV,MAR,AVR,MAI,JUN,JUI,AOÛ,SEP,OCT,NOV,DÉC,Total
2020,359.5,270.9,297.5,165.6,135,69.8,41.3,32.1,80.8,181.5,259.6,360.4,2253.9
2019,452.9,313.1,285.8,225.7,182,60.9,32,41.8,81.9,141.3,303.7,343.5,2464.4
2018,319.1,461.8,328.6,167.6,115.4,42.3,22,38.8,97.8,182.9,295.7,360.4,2432.4
2017,521.9,310,253.9,266.9,119.9,38.9,29.1,39,102.4,152.9,340.8,395.8,2571.4
2016,388.4,347,353.5,250.9,144.6,56,37.6,41.7,64.8,235.1,319.2,442.1,2680.9
2015,434,399.6,332.5,212.2,138.8,57.9,35.3,32.1,111.6,215.2,226.9,284.8,2480.8
2014,345.2,306.4,300.4,200.2,158.5,63.8,37.7,61,85.7,128.7,235,397.3,2319.7
2013,458.2,436.2,379.7,257.4,199.5,76.6,20.2,53.7,88.3,134.2,340.7,398.9,2843.5
2012,391.2,513.8,292.2,265.4,122.9,67.5,54.5,38.6,120.7,176.3,320.5,376.3,2739.8
