Export DJU 07/12/2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
Station météo,,BEAUVAIS-TILLE,,,,,,,,,,,
Usage,,Chauffage,,,,,,,,,,,
Méthode de calcul,,Professionnels de l'énergie,,,,,,,,,,,
Température de référence,,18°C,,,,,,,,,,,
Date de début,,12/31/11,,,,,,,,,,,
Date de fin,,12/30/20,,,,,,,,,,,
,,,,,,,,,,,,,
Résultats,,,,,,,,,,,,,
,,,,,,,,,,,,,
,JAN,FÉV,MAR,AVR,MAI,JUN,JUI,AOÛ,SEP,OCT,NOV,DÉC,Total
2020,379,294.3,334.2,195.3,162.9,80.1,61.7,36.9,89.7,190.1,281.2,372.6,2478
2019,452.3,335.6,289.7,255.8,202.3,74.7,54.9,53.9,96,168.6,318.6,375.7,2678.2
2018,349.2,463.9,368.2,192.3,139.1,63.3,23.4,46,117.9,194.1,326.7,360.9,2644.8
2017,515.8,324.3,268.4,288.5,139.7,58,45,54.8,112.6,154.5,332,402.9,2696.3
2016,409.2,361.7,375.1,285.5,166.3,67.9,51.3,50.4,62,233.9,333.2,452,2848.6
2015,435.2,413.7,344.4,241.3,171.9,95.9,52.5,49.6,140.1,229.3,239.1,275.5,2688.3
2014,364.9,314.3,312.1,219.7,180,91,49.2,73.3,81.5,151.2,265.8,416.2,2519.1
2013,469.4,445,438.7,286.3,218.7,101.5,38.5,63,111.6,157.2,341.9,400.7,3072.3
2012,394.8,491.6,296.4,301.6,167.3,94.9,68.7,52.5,128.7,199.3,327,385.5,2908.1
