Export DJU 14/12/2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
Station météo,,ABBEVILLE,,,,,,,,,,,
Usage,,Chauffage,,,,,,,,,,,
Méthode de calcul,,Professionnels de l'énergie,,,,,,,,,,,
Température de référence,,18°C,,,,,,,,,,,
Date de début,,12/31/11,,,,,,,,,,,
Date de fin,,12/30/20,,,,,,,,,,,
,,,,,,,,,,,,,
Résultats,,,,,,,,,,,,,
,,,,,,,,,,,,,
,JAN,FÉV,MAR,AVR,MAI,JUN,JUI,AOÛ,SEP,OCT,NOV,DÉC,Total
2020,357.9,290.6,322.4,177.6,160.9,78.6,49.6,26.3,75.9,183,252.1,359.8,2334.6
2019,429.7,299.8,277.8,234.6,176.4,66.2,50.5,40,84,161.7,306.8,348.2,2475.7
2018,347.6,437.2,368.7,175.3,137,65.1,23,37.3,97.7,179.5,305.3,340.7,2514.2
2017,483.4,321.5,253.6,255.2,128.6,47.6,36.4,46.5,100,129.5,303.8,380.8,2486.8
2016,376,358.4,357.9,269.9,150.4,77.3,45.8,39.7,46.2,209,321.3,408.5,2660.4
2015,403.4,385.6,329.1,228.2,169.2,90.4,49.4,42.1,127.9,212.6,213.4,244.1,2495.5
2014,349.8,301.3,283.6,201.7,168.8,92.5,41.3,66.2,64.6,125.7,255.9,387,2338.4
2013,458.2,429.8,439.1,289.7,223.7,101.9,41.8,42.1,98.5,149,332.3,356.6,2962.4
2012,369,483.4,284.3,292.1,172.5,97.2,64.4,38.2,110.2,203.4,308.9,370.7,2794.3
