Export DJU 07/12/2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
Station météo,,AURILLAC,,,,,,,,,,,
Usage,,Chauffage,,,,,,,,,,,
Méthode de calcul,,Professionnels de l'énergie,,,,,,,,,,,
Température de référence,,18°C,,,,,,,,,,,
Date de début,,12/31/11,,,,,,,,,,,
Date de fin,,12/30/20,,,,,,,,,,,
,,,,,,,,,,,,,
Résultats,,,,,,,,,,,,,
,,,,,,,,,,,,,
,JAN,FÉV,MAR,AVR,MAI,JUN,JUI,AOÛ,SEP,OCT,NOV,DÉC,Total
2020,396.9,336.7,337,176.2,142.5,117.8,55.5,46.2,119.3,250.3,259.9,427.9,2666.1
2019,540.4,319.7,331.9,276.9,223.9,80.2,37.6,52.6,96.3,164.1,363.3,368.6,2855.6
2018,371.7,493.9,372.9,198.7,161.5,60,33.7,44.4,80.4,187,287,377.4,2668.6
2017,532.9,323.7,290.1,271.6,147.9,53.9,39.6,53.3,159.1,192,385.3,493.4,2942.7
2016,413.7,386.3,394.3,280.4,190.6,95.5,54.8,58.2,92.7,235,329,395.1,2925.5
2015,465.3,456.1,329.9,217.3,163,63.2,35.5,55.6,152.3,236.1,301.4,321.1,2796.8
2014,402.9,369.5,333.7,223.4,200.2,74.6,64.8,90.5,88.5,142.3,244.1,453.6,2688
2013,526.2,480.3,376.3,286.6,269.6,124.4,33.2,68.3,114.6,166,391.6,415.5,3252.4
2012,462.6,590.3,305.1,304.9,154.2,76.5,82.2,47.1,116.1,186.3,317.1,443.6,3085.9
