Export DJU 07/12/2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
Station météo,,ALENCON,,,,,,,,,,,
Usage,,Chauffage,,,,,,,,,,,
Méthode de calcul,,Professionnels de l'énergie,,,,,,,,,,,
Température de référence,,18°C,,,,,,,,,,,
Date de début,,12/31/11,,,,,,,,,,,
Date de fin,,12/30/20,,,,,,,,,,,
,,,,,,,,,,,,,
Résultats,,,,,,,,,,,,,
,,,,,,,,,,,,,
,JAN,FÉV,MAR,AVR,MAI,JUN,JUI,AOÛ,SEP,OCT,NOV,DÉC,Total
2020,365,285.3,310,157.4,133.4,78.3,52.6,36.7,72.2,198.9,253.6,354.5,2297.8
2019,423.7,322.2,284.9,240.6,178.7,73,37.9,45.1,84.4,161.9,313.3,355.1,2520.6
2018,330.3,443.1,347.5,189.8,130.7,46.8,15.8,43.1,102.4,185.9,309,346.1,2490.4
2017,484,314.1,257,264.7,126.9,53.8,38.8,50.9,117.6,146.1,310.8,383.7,2548.3
2016,388.8,349,357.6,283.8,155.4,73.3,49.3,47.2,61.1,228.2,311.3,431,2736
2015,413.5,392.1,326.2,207,156.9,79.5,46.9,50.8,125.7,210.2,215.2,284.7,2508.7
2014,351.9,312.8,290.1,211.6,164,74.5,39.3,75.3,75.9,161.8,254.3,388.7,2400.1
2013,431.6,412.5,407.6,275.2,216.3,91.7,26.9,54.8,87.2,149.4,325.7,401.2,2879.9
2012,371,469.9,275.6,292.1,159.4,87.4,71.7,45.5,123.4,187.9,325.3,361.7,2770.8
